市役所,川口市青木2−1−1,139.723344,35.806865
幸栄公民館,川口市幸町3−8−33,139.717678,35.80535
中央ふれあい館,川口市本町4−5−26,139.721237,35.801386
川口駅前行政センター,川口市川口1－1－1,139.71781,35.801342
本町小学校,川口市本町2−4−6,139.72512,35.799255
元郷南小学校,川口市元郷2−15−20,139.730647,35.797862
南平保育園,川口市元郷1−31−7,139.734287,35.800545
十二月田中学校,川口市朝日1−11−3,139.735629,35.805316
朝日北保育所,川口市朝日2−3−4,139.73086,35.81435
朝日西小学校,川口市朝日4−17−12,139.742198,35.810091
朝日東公民館,川口市朝日5−14−8,139.748544,35.806468
南平福祉会館,川口市末広3−7−21,139.743706,35.805925
元郷小学校,川口市元郷6−2−1,139.741741,35.800153
領家中学校,川口市領2−11−15,139.7407,35.793438
東スポーツセンター,川口市東領家2−27−1,139.750737,35.797698
領家第4公園,川口市東領家5－8,139.752663,35.789117
領家小学校,川口市領家3−14−1,139.748467,35.791387
飯塚氷川神社,川口市飯塚1−7−18,139.71541,35.798836
西公民館,川口市飯塚2−3−3,139.712617,35.801905
飯塚小学校,川口市飯塚2−11−1,139.711552,35.798554
原町小学校,川口市飯原町6−50,139.704368,35.799452
地域保健センター,川口市南町1−9−20,139.702687,35.802826
西スポーツセンター,川口市川口6−9−29,139.708497,35.804489
並木小学校,川口市並木1−24−1,139.711472,35.812207
横曽根公民館（会議室）,川口市仲町10−16,139.705241,35.807455
横曽根公民館（集会室）,川口市仲町10−16,139.705585,35.807469
西川口自転車等保管場所,川口市西川口6−16−32,139.699393,35.808325
仲町中学校,川口市西川口2−16−1,139.699429,35.811711
並木公民館,川口市並木2−8−2,139.708981,35.816889
幸並中学校,川口市西青木2−3−53,139.711177,35.817177
青木北小学校,川口市西青木1−1−1,139.715022,35.813692
青木中央小学校,川口市中青木2−21−5,139.72259,35.810097
青木東公民館,川口市青木2−11−33,139.728554,35.809658
青木会館,川口市青木3−3−1,139.722832,35.812407
青木中学校,川口市青木5−1−1,139.721718,35.816099
上青木公民館,川口市上青木西2−14−14,139.717052,35.825529
生涯学習プラザ,川口市上青木西1−2−25,139.711923,35.823848
上青木小学校,川口市上青木西3−8−25,139.716697,35.8287
上青木保育所,川口市上青木5−5−55,139.725004,35.831267
前川東小学校,川口市前上町10−1,139.714266,35.835597
前川南公民館,川口市南前川2−15−2,139.709699,35.831899
前川公民館,川口市本前川1−4−1,139.70887,35.840353
芝東中学校,川口市芝東町3−1,139.700655,35.844728
旧あさひあ〜と,川口市芝1−31−8,139.70396,35.835166
芝南公民館,川口市芝中田2−3−1,139.70159,35.83051
芝中田町会会館,川口市芝5−19−23,139.695006,35.830442
芝公民館,川口市大字芝3905,139.693443,35.836984
芝南れんげそう(芝南小学校内),川口市芝3−17−1,139.698512,35.834549
宮根町会会館,川口市大字芝5378,139.695905,35.83879
芝小学校,川口市大字芝5218,139.692295,35.837874
芝保育所,川口市芝樋ノ爪1−12−8,139.689135,35.833378
芝園公民館,川口市芝園町3−15,139.6845,35.831481
芝富士公民館,川口市芝富士1−27−1,139.676886,35.835367
芝西小学校,川口市芝西2−20−3,139.683708,35.841333
芝西保育所,川口市大字小谷場237,139.684024,35.843376
西部土地区画整理事務所,川口市大字伊刈200,139.69923,35.848263
柳崎小学校,川口市柳崎4−4−1,139.70078,35.856577
芝北公民館,川口市北園町11−1,139.703459,35.855405
岸川中学校,川口市大字安行領根岸374−1,139.707768,35.845525
根岸小学校,川口市大字安行領根岸113番地,139.716599,35.842621
神根福祉センター,川口市大字道合1421,139.71835,35.852526
神根公民館,川口市大字神戸29,139.72553,35.850261
赤山第三町会会館,川口市大字赤山1082−12,139.741958,35.846069
神根東公民館,川口市大字石神1460,139.739663,35.854765
木曽呂小学校,川口市大字木曽呂382−2,139.724927,35.859853
戸塚西公民館,川口市差間3−16−17,139.730363,35.870036
戸塚小学校,川口市戸塚3−13−55,139.746875,35.869459
東川口駅前行政センター,川口市戸塚2−1−1,139.744564,35.874397
戸塚北小学校,川口市東川口3−12−1,139.746983,35.879971
